Date,Holiday,WeekDay,Month,Day,Year
12/30/16,Before New Years Eve,Friday,12,30,2016
12/31/16,New Years Eve,Saturday,12,31,2016
1/2/17,After New Years Day,Monday,1,2,2017
1/15/17,Before Martin Luther King,Sunday,1,15,2017
1/17/17,After Martin Luther King,Tuesday,1,17,2017
2/13/17,Before Valentines Day,Monday,2,13,2017
2/15/17,After Valentines Day,Wednesday,2,15,2017
2/19/17,Before Washington Birthday,Sunday,2,19,2017
2/21/17,After Washington Birthday,Tuesday,2,21,2017
4/15/17,Before Western Easter,Saturday,4,15,2017
4/17/17,After Western Easter,Monday,4,17,2017
4/15/17,Before Eastern Easter,Saturday,4,15,2017
4/17/17,After Eastern Easter,Monday,4,17,2017
5/28/17,Before Memorial Day,Sunday,5,28,2017
5/30/17,After Memorial Day,Tuesday,5,30,2017
6/18/17,Before Juneteenth,Sunday,6,18,2017
6/20/17,After Juneteenth,Tuesday,6,20,2017
7/3/17,Before 4th of July,Monday,7,3,2017
7/5/17,After 4th of July,Wednesday,7,5,2017
9/3/17,Before Labor Day,Sunday,9,3,2017
9/5/17,After Labor Day,Tuesday,9,5,2017
10/8/17,Before Columbus Day,Sunday,10,8,2017
10/10/17,After Columbus Day,Tuesday,10,10,2017
11/9/17,Before Veterans Day,Thursday,11,9,2017
11/11/17,After Veterans Day,Saturday,11,11,2017
11/22/17,Before Thanksgiving Day,Wednesday,11,22,2017
11/24/17,After Thanksgiving Day,Friday,11,24,2017
12/23/17,Before Christmas Eve,Saturday,12,23,2017
12/24/17,Christmas Eve,Sunday,12,24,2017
12/26/17,After Christmas Day,Tuesday,12,26,2017
12/30/17,Before New Years Eve,Saturday,12,30,2017
12/31/17,New Years Eve,Sunday,12,31,2017
1/2/18,After New Years Day,Tuesday,1,2,2018
1/14/18,Before Martin Luther King,Sunday,1,14,2018
1/16/18,After Martin Luther King,Tuesday,1,16,2018
2/13/18,Before Valentines Day,Tuesday,2,13,2018
2/15/18,After Valentines Day,Thursday,2,15,2018
2/18/18,Before Washington Birthday,Sunday,2,18,2018
2/20/18,After Washington Birthday,Tuesday,2,20,2018
3/31/18,Before Western Easter,Saturday,3,31,2018
4/2/18,After Western Easter,Monday,4,2,2018
4/7/18,Before Eastern Easter,Saturday,4,7,2018
4/9/18,After Eastern Easter,Monday,4,9,2018
5/27/18,Before Memorial Day,Sunday,5,27,2018
5/29/18,After Memorial Day,Tuesday,5,29,2018
6/18/18,Before Juneteenth,Monday,6,18,2018
6/20/18,After Juneteenth,Wednesday,6,20,2018
7/3/18,Before 4th of July,Tuesday,7,3,2018
7/5/18,After 4th of July,Thursday,7,5,2018
9/2/18,Before Labor Day,Sunday,9,2,2018
9/4/18,After Labor Day,Tuesday,9,4,2018
10/7/18,Before Columbus Day,Sunday,10,7,2018
10/9/18,After Columbus Day,Tuesday,10,9,2018
11/11/18,Before Veterans Day,Sunday,11,11,2018
11/13/18,After Veterans Day,Tuesday,11,13,2018
11/21/18,Before Thanksgiving Day,Wednesday,11,21,2018
11/23/18,After Thanksgiving Day,Friday,11,23,2018
12/23/18,Before Christmas Eve,Sunday,12,23,2018
12/24/18,Christmas Eve,Monday,12,24,2018
12/26/18,After Christmas Day,Wednesday,12,26,2018
12/30/18,Before New Years Eve,Sunday,12,30,2018
12/31/18,New Years Eve,Monday,12,31,2018
1/2/19,After New Years Day,Wednesday,1,2,2019
1/20/19,Before Martin Luther King,Sunday,1,20,2019
1/22/19,After Martin Luther King,Tuesday,1,22,2019
2/13/19,Before Valentines Day,Wednesday,2,13,2019
2/15/19,After Valentines Day,Friday,2,15,2019
2/17/19,Before Washington Birthday,Sunday,2,17,2019
2/19/19,After Washington Birthday,Tuesday,2,19,2019
4/20/19,Before Western Easter,Saturday,4,20,2019
4/22/19,After Western Easter,Monday,4,22,2019
4/27/19,Before Eastern Easter,Saturday,4,27,2019
4/29/19,After Eastern Easter,Monday,4,29,2019
5/26/19,Before Memorial Day,Sunday,5,26,2019
5/28/19,After Memorial Day,Tuesday,5,28,2019
6/18/19,Before Juneteenth,Tuesday,6,18,2019
6/20/19,After Juneteenth,Thursday,6,20,2019
7/3/19,Before 4th of July,Wednesday,7,3,2019
7/5/19,After 4th of July,Friday,7,5,2019
9/1/19,Before Labor Day,Sunday,9,1,2019
9/3/19,After Labor Day,Tuesday,9,3,2019
10/13/19,Before Columbus Day,Sunday,10,13,2019
10/15/19,After Columbus Day,Tuesday,10,15,2019
11/10/19,Before Veterans Day,Sunday,11,10,2019
11/12/19,After Veterans Day,Tuesday,11,12,2019
11/27/19,Before Thanksgiving Day,Wednesday,11,27,2019
11/29/19,After Thanksgiving Day,Friday,11,29,2019
12/23/19,Before Christmas Eve,Monday,12,23,2019
12/24/19,Christmas Eve,Tuesday,12,24,2019
12/26/19,After Christmas Day,Thursday,12,26,2019
12/30/19,Before New Years Eve,Monday,12,30,2019
12/31/19,New Years Eve,Tuesday,12,31,2019
1/2/20,After New Years Day,Thursday,1,2,2020
1/19/20,Before Martin Luther King,Sunday,1,19,2020
1/21/20,After Martin Luther King,Tuesday,1,21,2020
2/13/20,Before Valentines Day,Thursday,2,13,2020
2/15/20,After Valentines Day,Saturday,2,15,2020
2/16/20,Before Washington Birthday,Sunday,2,16,2020
2/18/20,After Washington Birthday,Tuesday,2,18,2020
4/11/20,Before Western Easter,Saturday,4,11,2020
4/13/20,After Western Easter,Monday,4,13,2020
4/18/20,Before Eastern Easter,Saturday,4,18,2020
4/20/20,After Eastern Easter,Monday,4,20,2020
5/24/20,Before Memorial Day,Sunday,5,24,2020
5/26/20,After Memorial Day,Tuesday,5,26,2020
6/18/20,Before Juneteenth,Thursday,6,18,2020
6/20/20,After Juneteenth,Saturday,6,20,2020
7/3/20,Before 4th of July,Friday,7,3,2020
7/5/20,After 4th of July,Sunday,7,5,2020
9/6/20,Before Labor Day,Sunday,9,6,2020
9/8/20,After Labor Day,Tuesday,9,8,2020
10/11/20,Before Columbus Day,Sunday,10,11,2020
10/13/20,After Columbus Day,Tuesday,10,13,2020
11/10/20,Before Veterans Day,Tuesday,11,10,2020
11/12/20,After Veterans Day,Thursday,11,12,2020
11/25/20,Before Thanksgiving Day,Wednesday,11,25,2020
11/27/20,After Thanksgiving Day,Friday,11,27,2020
12/23/20,Before Christmas Eve,Wednesday,12,23,2020
12/24/20,Christmas Eve,Thursday,12,24,2020
12/26/20,After Christmas Day,Saturday,12,26,2020
12/30/20,Before New Years Eve,Wednesday,12,30,2020
12/31/20,New Years Eve,Thursday,12,31,2020
1/2/21,After New Years Day,Saturday,1,2,2021
1/17/21,Before Martin Luther King,Sunday,1,17,2021
1/19/21,After Martin Luther King,Tuesday,1,19,2021
2/13/21,Before Valentines Day,Saturday,2,13,2021
2/15/21,After Valentines Day,Monday,2,15,2021
2/14/21,Before Washington Birthday,Sunday,2,14,2021
2/16/21,After Washington Birthday,Tuesday,2,16,2021
4/3/21,Before Western Easter,Saturday,4,3,2021
4/5/21,After Western Easter,Monday,4,5,2021
5/1/21,Before Eastern Easter,Saturday,5,1,2021
5/3/21,After Eastern Easter,Monday,5,3,2021
5/30/21,Before Memorial Day,Sunday,5,30,2021
6/1/21,After Memorial Day,Tuesday,6,1,2021
6/18/21,Before Juneteenth,Friday,6,18,2021
6/20/21,After Juneteenth,Sunday,6,20,2021
