"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-01","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-02","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-03","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-04","0.05",
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-05","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-06","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-07","2.73",
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-08","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-09","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-10","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-11","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-12","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-13","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-14","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-15","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-16","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-17","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-18","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-19","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-20","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-21","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-22","0.00","0.0"
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-23","0.90",
"US1FLMR0036","OCALA 14.3 S, FL US","28.976","-82.1746","24.4","2017-01-24","0.00",
