Date,Holiday,WeekDay,Month,Day,Year
12/30/2016,Before New Years Eve,Friday,12,30,2016
12/31/2016,New Years Eve,Saturday,12,31,2016
1/1/2017,New Years Day,Sunday,1,1,2017
1/2/2017,After New Years Day,Monday,1,2,2017
1/15/2017,Before Martin Luther King,Sunday,1,15,2017
1/16/2017,Martin Luther King,Monday,1,16,2017
1/17/2017,After Martin Luther King,Tuesday,1,17,2017
2/13/2017,Before Valentines Day,Monday,2,13,2017
2/14/2017,Valentines Day,Tuesday,2,14,2017
2/15/2017,After Valentines Day,Wednesday,2,15,2017
2/19/2017,Before Washington Birthday,Sunday,2,19,2017
2/20/2017,Washington Birthday,Monday,2,20,2017
2/21/2017,After Washington Birthday,Tuesday,2,21,2017
4/15/2017,Before Western Easter,Saturday,4,15,2017
4/16/2017,Western Easter,Sunday,4,16,2017
4/17/2017,After Western Easter,Monday,4,17,2017
4/15/2017,Before Eastern Easter,Saturday,4,15,2017
4/16/2017,Eastern Easter,Sunday,4,16,2017
4/17/2017,After Eastern Easter,Monday,4,17,2017
5/28/2017,Before Memorial Day,Sunday,5,28,2017
5/29/2017,Memorial Day,Monday,5,29,2017
5/30/2017,After Memorial Day,Tuesday,5,30,2017
6/18/2017,Before Juneteenth,Sunday,6,18,2017
6/19/2017,Juneteenth,Monday,6,19,2017
6/20/2017,After Juneteenth,Tuesday,6,20,2017
7/3/2017,Before 4th of July,Monday,7,3,2017
7/4/2017,4th of July,Tuesday,7,4,2017
7/5/2017,After 4th of July,Wednesday,7,5,2017
9/3/2017,Before Labor Day,Sunday,9,3,2017
9/4/2017,Labor Day,Monday,9,4,2017
9/5/2017,After Labor Day,Tuesday,9,5,2017
10/8/2017,Before Columbus Day,Sunday,10,8,2017
10/9/2017,Columbus Day,Monday,10,9,2017
10/10/2017,After Columbus Day,Tuesday,10,10,2017
11/9/2017,Before Veterans Day,Thursday,11,9,2017
11/10/2017,Veterans Day,Friday,11,10,2017
11/11/2017,After Veterans Day,Saturday,11,11,2017
11/22/2017,Before Thanksgiving Day,Wednesday,11,22,2017
11/23/2017,Thanksgiving Day,Thursday,11,23,2017
11/24/2017,After Thanksgiving Day,Friday,11,24,2017
12/23/2017,Before Christmas Eve,Saturday,12,23,2017
12/24/2017,Christmas Eve,Sunday,12,24,2017
12/25/2017,Christmas Day,Monday,12,25,2017
12/26/2017,After Christmas Day,Tuesday,12,26,2017
12/30/2017,Before New Years Eve,Saturday,12,30,2017
12/31/2017,New Years Eve,Sunday,12,31,2017
1/1/2018,New Years Day,Monday,1,1,2018
1/2/2018,After New Years Day,Tuesday,1,2,2018
1/14/2018,Before Martin Luther King,Sunday,1,14,2018
1/15/2018,Martin Luther King,Monday,1,15,2018
1/16/2018,After Martin Luther King,Tuesday,1,16,2018
2/13/2018,Before Valentines Day,Tuesday,2,13,2018
2/14/2018,Valentines Day,Wednesday,2,14,2018
2/15/2018,After Valentines Day,Thursday,2,15,2018
2/18/2018,Before Washington Birthday,Sunday,2,18,2018
2/19/2018,Washington Birthday,Monday,2,19,2018
2/20/2018,After Washington Birthday,Tuesday,2,20,2018
3/31/2018,Before Western Easter,Saturday,3,31,2018
4/1/2018,Western Easter,Sunday,4,1,2018
4/2/2018,After Western Easter,Monday,4,2,2018
4/7/2018,Before Eastern Easter,Saturday,4,7,2018
4/8/2018,Eastern Easter,Sunday,4,8,2018
4/9/2018,After Eastern Easter,Monday,4,9,2018
5/27/2018,Before Memorial Day,Sunday,5,27,2018
5/28/2018,Memorial Day,Monday,5,28,2018
5/29/2018,After Memorial Day,Tuesday,5,29,2018
6/18/2018,Before Juneteenth,Monday,6,18,2018
6/19/2018,Juneteenth,Tuesday,6,19,2018
6/20/2018,After Juneteenth,Wednesday,6,20,2018
7/3/2018,Before 4th of July,Tuesday,7,3,2018
7/4/2018,4th of July,Wednesday,7,4,2018
7/5/2018,After 4th of July,Thursday,7,5,2018
9/2/2018,Before Labor Day,Sunday,9,2,2018
9/3/2018,Labor Day,Monday,9,3,2018
9/4/2018,After Labor Day,Tuesday,9,4,2018
10/7/2018,Before Columbus Day,Sunday,10,7,2018
10/8/2018,Columbus Day,Monday,10,8,2018
10/9/2018,After Columbus Day,Tuesday,10,9,2018
11/11/2018,Before Veterans Day,Sunday,11,11,2018
11/12/2018,Veterans Day,Monday,11,12,2018
11/13/2018,After Veterans Day,Tuesday,11,13,2018
11/21/2018,Before Thanksgiving Day,Wednesday,11,21,2018
11/22/2018,Thanksgiving Day,Thursday,11,22,2018
11/23/2018,After Thanksgiving Day,Friday,11,23,2018
12/23/2018,Before Christmas Eve,Sunday,12,23,2018
12/24/2018,Christmas Eve,Monday,12,24,2018
12/25/2018,Christmas Day,Tuesday,12,25,2018
12/26/2018,After Christmas Day,Wednesday,12,26,2018
12/30/2018,Before New Years Eve,Sunday,12,30,2018
12/31/2018,New Years Eve,Monday,12,31,2018
1/1/2019,New Years Day,Tuesday,1,1,2019
1/2/2019,After New Years Day,Wednesday,1,2,2019
1/20/2019,Before Martin Luther King,Sunday,1,20,2019
1/21/2019,Martin Luther King,Monday,1,21,2019
1/22/2019,After Martin Luther King,Tuesday,1,22,2019
2/13/2019,Before Valentines Day,Wednesday,2,13,2019
2/14/2019,Valentines Day,Thursday,2,14,2019
2/15/2019,After Valentines Day,Friday,2,15,2019
2/17/2019,Before Washington Birthday,Sunday,2,17,2019
2/18/2019,Washington Birthday,Monday,2,18,2019
2/19/2019,After Washington Birthday,Tuesday,2,19,2019
4/20/2019,Before Western Easter,Saturday,4,20,2019
4/21/2019,Western Easter,Sunday,4,21,2019
4/22/2019,After Western Easter,Monday,4,22,2019
4/27/2019,Before Eastern Easter,Saturday,4,27,2019
4/28/2019,Eastern Easter,Sunday,4,28,2019
4/29/2019,After Eastern Easter,Monday,4,29,2019
5/26/2019,Before Memorial Day,Sunday,5,26,2019
5/27/2019,Memorial Day,Monday,5,27,2019
5/28/2019,After Memorial Day,Tuesday,5,28,2019
6/18/2019,Before Juneteenth,Tuesday,6,18,2019
6/19/2019,Juneteenth,Wednesday,6,19,2019
6/20/2019,After Juneteenth,Thursday,6,20,2019
7/3/2019,Before 4th of July,Wednesday,7,3,2019
7/4/2019,4th of July,Thursday,7,4,2019
7/5/2019,After 4th of July,Friday,7,5,2019
9/1/2019,Before Labor Day,Sunday,9,1,2019
9/2/2019,Labor Day,Monday,9,2,2019
9/3/2019,After Labor Day,Tuesday,9,3,2019
10/13/2019,Before Columbus Day,Sunday,10,13,2019
10/14/2019,Columbus Day,Monday,10,14,2019
10/15/2019,After Columbus Day,Tuesday,10,15,2019
11/10/2019,Before Veterans Day,Sunday,11,10,2019
11/11/2019,Veterans Day,Monday,11,11,2019
11/12/2019,After Veterans Day,Tuesday,11,12,2019
11/27/2019,Before Thanksgiving Day,Wednesday,11,27,2019
11/28/2019,Thanksgiving Day,Thursday,11,28,2019
11/29/2019,After Thanksgiving Day,Friday,11,29,2019
12/23/2019,Before Christmas Eve,Monday,12,23,2019
12/24/2019,Christmas Eve,Tuesday,12,24,2019
12/25/2019,Christmas Day,Wednesday,12,25,2019
12/26/2019,After Christmas Day,Thursday,12,26,2019
12/30/2019,Before New Years Eve,Monday,12,30,2019
12/31/2019,New Years Eve,Tuesday,12,31,2019
1/1/2020,New Years Day,Wednesday,1,1,2020
1/2/2020,After New Years Day,Thursday,1,2,2020
1/19/2020,Before Martin Luther King,Sunday,1,19,2020
1/20/2020,Martin Luther King,Monday,1,20,2020
1/21/2020,After Martin Luther King,Tuesday,1,21,2020
2/13/2020,Before Valentines Day,Thursday,2,13,2020
2/14/2020,Valentines Day,Friday,2,14,2020
2/15/2020,After Valentines Day,Saturday,2,15,2020
2/16/2020,Before Washington Birthday,Sunday,2,16,2020
2/17/2020,Washington Birthday,Monday,2,17,2020
2/18/2020,After Washington Birthday,Tuesday,2,18,2020
4/11/2020,Before Western Easter,Saturday,4,11,2020
4/12/2020,Western Easter,Sunday,4,12,2020
4/13/2020,After Western Easter,Monday,4,13,2020
4/18/2020,Before Eastern Easter,Saturday,4,18,2020
4/19/2020,Eastern Easter,Sunday,4,19,2020
4/20/2020,After Eastern Easter,Monday,4,20,2020
5/24/2020,Before Memorial Day,Sunday,5,24,2020
5/25/2020,Memorial Day,Monday,5,25,2020
5/26/2020,After Memorial Day,Tuesday,5,26,2020
6/18/2020,Before Juneteenth,Thursday,6,18,2020
6/19/2020,Juneteenth,Friday,6,19,2020
6/20/2020,After Juneteenth,Saturday,6,20,2020
7/3/2020,Before 4th of July,Friday,7,3,2020
7/4/2020,4th of July,Saturday,7,4,2020
7/5/2020,After 4th of July,Sunday,7,5,2020
9/6/2020,Before Labor Day,Sunday,9,6,2020
9/7/2020,Labor Day,Monday,9,7,2020
9/8/2020,After Labor Day,Tuesday,9,8,2020
10/11/2020,Before Columbus Day,Sunday,10,11,2020
10/12/2020,Columbus Day,Monday,10,12,2020
10/13/2020,After Columbus Day,Tuesday,10,13,2020
11/10/2020,Before Veterans Day,Tuesday,11,10,2020
11/11/2020,Veterans Day,Wednesday,11,11,2020
11/12/2020,After Veterans Day,Thursday,11,12,2020
11/25/2020,Before Thanksgiving Day,Wednesday,11,25,2020
11/26/2020,Thanksgiving Day,Thursday,11,26,2020
11/27/2020,After Thanksgiving Day,Friday,11,27,2020
12/23/2020,Before Christmas Eve,Wednesday,12,23,2020
12/24/2020,Christmas Eve,Thursday,12,24,2020
12/25/2020,Christmas Day,Friday,12,25,2020
12/26/2020,After Christmas Day,Saturday,12,26,2020
12/30/2020,Before New Years Eve,Wednesday,12,30,2020
12/31/2020,New Years Eve,Thursday,12,31,2020
1/1/2021,New Years Day,Friday,1,1,2021
1/2/2021,After New Years Day,Saturday,1,2,2021
1/17/2021,Before Martin Luther King,Sunday,1,17,2021
1/18/2021,Martin Luther King,Monday,1,18,2021
1/19/2021,After Martin Luther King,Tuesday,1,19,2021
2/13/2021,Before Valentines Day,Saturday,2,13,2021
2/14/2021,Valentines Day,Sunday,2,14,2021
2/15/2021,After Valentines Day,Monday,2,15,2021
2/14/2021,Before Washington Birthday,Sunday,2,14,2021
2/15/2021,Washington Birthday,Monday,2,15,2021
2/16/2021,After Washington Birthday,Tuesday,2,16,2021
4/3/2021,Before Western Easter,Saturday,4,3,2021
4/4/2021,Western Easter,Sunday,4,4,2021
4/5/2021,After Western Easter,Monday,4,5,2021
5/1/2021,Before Eastern Easter,Saturday,5,1,2021
5/2/2021,Eastern Easter,Sunday,5,2,2021
5/3/2021,After Eastern Easter,Monday,5,3,2021
5/30/2021,Before Memorial Day,Sunday,5,30,2021
5/31/2021,Memorial Day,Monday,5,31,2021
6/1/2021,After Memorial Day,Tuesday,6,1,2021
6/18/2021,Before Juneteenth,Friday,6,18,2021
6/19/2021,Juneteenth,Saturday,6,19,2021
6/20/2021,After Juneteenth,Sunday,6,20,2021
7/3/2021,Before 4th of July,Saturday,7,3,2021
7/4/2021,4th of July,Sunday,7,4,2021
7/5/2021,After 4th of July,Monday,7,5,2021
9/5/2021,Before Labor Day,Sunday,9,5,2021
9/6/2021,Labor Day,Monday,9,6,2021
9/7/2021,After Labor Day,Tuesday,9,7,2021
10/10/2021,Before Columbus Day,Sunday,10,10,2021
10/11/2021,Columbus Day,Monday,10,11,2021
