OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BTV,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
01-01-2017,31,41,10,0,82,0,0,0,0,0,0,1,22,0,23,0,2,0,1,3,6,0,6,111,114,
01-02-2017,38,43,23,0,104,0,0,1,0,1,0,0,63,0,63,0,0,3,0,3,44,0,44,211,215,
01-03-2017,32,43,16,5,96,0,1,0,0,1,0,0,9,3,12,0,0,0,0,0,60,26,86,194,195,
01-04-2017,36,38,12,2,88,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,18,0,18,114,114,
01-05-2017,31,38,10,10,89,0,0,0,0,0,0,1,26,1,28,0,0,0,0,0,31,8,39,156,156,
01-06-2017,27,38,10,1,76,0,1,0,0,1,0,0,27,0,27,0,0,3,0,3,84,0,84,187,191,
01-07-2017,20,17,23,6,66,0,0,0,0,0,0,0,37,1,38,0,3,1,0,4,86,6,92,196,200,
01-08-2017,16,36,14,2,68,0,0,0,0,0,0,0,11,0,11,0,0,2,0,2,23,0,23,102,104,
01-09-2017,23,42,22,0,87,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,33,0,33,133,133,
01-10-2017,25,44,13,3,85,0,0,0,0,0,0,0,2,4,6,0,1,0,0,1,18,4,22,113,114,
01-11-2017,26,44,8,2,80,0,0,0,1,1,0,3,31,10,44,0,1,0,0,1,48,4,52,176,178,
01-12-2017,24,39,20,1,84,0,0,0,0,0,0,0,5,0,5,0,0,2,0,2,11,0,11,100,102,
01/13/2017,22,42,13,19,96,0,0,0,0,0,0,2,27,7,36,0,0,1,0,1,14,33,47,179,180,
01/14/2017,26,27,16,0,69,0,0,0,0,0,0,1,60,0,61,0,1,0,0,1,155,0,155,285,286,
01/15/2017,20,27,17,0,64,0,1,0,0,1,0,2,24,0,26,0,0,0,0,0,78,0,78,168,169,
01/16/2017,26,44,14,0,84,0,0,0,0,0,0,3,52,2,57,0,0,0,0,0,12,0,12,153,153,
01/17/2017,29,38,9,6,82,0,0,0,0,0,0,0,28,8,36,0,0,2,0,2,64,0,64,182,184,
01/18/2017,30,36,16,16,98,0,0,0,0,0,0,0,4,3,7,0,0,0,1,1,21,30,51,156,157,
01/19/2017,25,39,14,5,83,0,0,0,0,0,0,0,5,8,13,0,0,1,5,6,78,13,91,187,193,
01/20/2017,24,45,17,8,94,0,0,0,0,0,0,0,13,5,18,0,0,1,1,2,57,4,61,173,175,
